plantId,rootType,plantStage,variantIndex,variant,fileName,fileFormat,isFallbackReady,nameCN,nameEN,nameIT,notes
bul_late_0010,bul,late,10,,bul_late_0010.png,png,TRUE,大丽花,Dahlia,Dalia,
bra_early_0006,bra,early,6,,bra_early_0006,png,TRUE,蔷薇,Wild Rose,Rosa selvatica,
bra_late_0006,bra,late,6,,bra_late_0006,png,TRUE,蔷薇,Wild Rose,Rosa selvatica,
bra_early_0007,bra,early,7,,bra_early_0007.png,png,TRUE,炮仗花,Flame Vine,Pirostigia,live
bra_late_0007,bra,late,7,,bra_late_0007.png,png,TRUE,炮仗花,Flame Vine,Pirostigia,live
bra_early_0008,bra,early,8,,bra_early_0008.png,png,TRUE,西番莲,Passionflower,Passiflora,live
bra_late_0008,bra,late,8,,bra_late_0008.png,png,TRUE,西番莲,Passionflower,Passiflora,live
bra_early_0009,bra,early,9,,bra_early_0009.png,png,TRUE,络石,Confederate Jasmine,Falso gelsomino,
bra_late_0009,bra,late,9,,bra_late_0009.png,png,TRUE,络石,Confederate Jasmine,Falso gelsomino,
bra_early_0010,bra,early,10,,bra_early_0010.png,png,TRUE,使君子,Rangoon Creeper,Quisqualis,live
bra_late_0010,bra,late,10,,bra_late_0010.png,png,TRUE,使君子,Rangoon Creeper,Quisqualis,live
sha_early_0006,sha,early,6,,sha_early_0006.png,png,TRUE,月季,Chinese Rose,Rosa cinese,live
sha_late_0006,sha,late,6,,sha_late_0006.png,png,TRUE,月季,Chinese Rose,Rosa cinese,live
sha_early_0007,sha,early,7,,sha_early_0007.png,png,TRUE,芍药,Chinese Peony,Peonia erbacea,live
sha_late_0007,sha,late,7,,sha_late_0007.png,png,TRUE,芍药,Chinese Peony,Peonia erbacea,live
sha_early_0008,sha,early,8,,sha_early_0008.png,png,TRUE,三角梅,Bougainvillea,Bouganville,
sha_late_0008,sha,late,8,,sha_late_0008.png,png,TRUE,三角梅,Bougainvillea,Bouganville,
sha_early_0009,sha,early,9,,sha_early_0009.png,png,TRUE,红叶石楠,Red Robin Photinia,Fotinia rossa,
sha_late_0009,sha,late,9,,sha_late_0009.png,png,TRUE,红叶石楠,Red Robin Photinia,Fotinia rossa,
sha_early_0010,sha,early,10,,sha_early_0010.png,png,TRUE,木槿,Rose of Sharon,Ibisco di Siria,
sha_late_0010,sha,late,10,,sha_late_0010.png,png,TRUE,木槿,Rose of Sharon,Ibisco di Siria,
tap_early_0006,tap,early,6,,tap_early_0006.png,png,TRUE,金鸡菊,Coreopsis,Coreopsis,live
tap_late_0006,tap,late,6,,tap_late_0006.png,png,TRUE,金鸡菊,Coreopsis,Coreopsis,live
tap_early_0007,tap,early,7,,tap_early_0007.png,png,TRUE,矢车菊,Cornflower,Fiordaliso,live
tap_late_0007,tap,late,7,,tap_late_0007.png,png,TRUE,矢车菊,Cornflower,Fiordaliso,live
tap_early_0008,tap,early,8,,tap_early_0008.png,png,TRUE,松虫草,Pincushion Flower,Scabiosa,live
tap_late_0008,tap,late,8,,tap_late_0008.png,png,TRUE,松虫草,Pincushion Flower,Scabiosa,
tap_early_0009,tap,early,9,,tap_early_0010.png,png,TRUE,毛地黄,Foxglove,Digitale,
tap_late_0009,tap,late,9,,tap_late_0009.png,png,TRUE,毛地黄,Foxglove,Digitale,live
tap_early_0010,tap,early,10,,tap_early_0010.png,png,TRUE,金鱼草,Snapdragon,Bocca di leone,live
tap_late_0010,tap,late,10,,tap_late_0010.png,png,TRUE,金鱼草,Snapdragon,Bocca di leone,live
air_0001,air,special,1,,air_0001.png,png,TRUE,空气植物,Air Plant,Tillandsia,live
